CUR_NME,SITE_TYPE,GIS_AREA,DISTRICT
Vogelfontein 319 Nature Reserve,Nature Reserve,57,West Coast
Vogelfontein Nature Reserve,Nature Reserve,1488,West Coast
Nieuwe Gift Nature Reserve,Nature Reserve,564,West Coast
Knysna National Lake Area,Protected Environment,11555,Garden Route
Witzands Aquifer Nature Reserve,Nature Reserve,1750,City of Cape Town
Alsfontein Nature Reserve,Nature Reserve,1325,West Coast
Cape of Good Hope Nature Reserve,Nature Reserve,8002,City of Cape Town
Witsand Local Nature Reserve,Nature Reserve,8,Garden Route
High Slent Nature Reserve,Nature Reserve,238,Cape Winelands
Edith Stephens Nature Reserve,Nature Reserve,24,City of Cape Town
Botterblom Nature Reserve,Nature Reserve,4,City of Cape Town
Bothasig Nature Reserve,Nature Reserve,6,City of Cape Town
Blaauwberg Nature Reserve,Nature Reserve,1025,City of Cape Town
Bracken Nature Reserve,Nature Reserve,40,City of Cape Town
Uitkamp Wetland Nature Reserve,Nature Reserve,32,City of Cape Town
Tygerberg Nature Reserve,Nature Reserve,310,City of Cape Town
Steenbras Nature Reserve,Nature Reserve,8057,City of Cape Town
Papegaaiberg Nature Reserve,Nature Reserve,139,Cape Winelands
Platbos Forest Nature Reserve,Forest Nature Reserve,51,Overberg
Vergelegen Nature Reserve,Nature Reserve,2985,City of Cape Town
Witteberg Nature Reserve,Nature Reserve,4443,Central Karoo
Destiny Nature Reserve,Nature Reserve,1697,Garden Route
Witkliprug Nature Reserve,Nature Reserve,293,Garden Route
Robben Island Marine Protected Area,Marine Protected Area,61230,City of Cape Town
Bokbaai Nature Reserve,Nature Reserve,1071,West Coast
Wildealsvlei Nature Reserve,Nature Reserve,856,Garden Route
Helderberg Nature Reserve,Nature Reserve,290,City of Cape Town
Wolfgat Nature Reserve,Nature Reserve,264,City of Cape Town
Stilbaai Marine Protected Area,Marine Protected Area,3489,Garden Route
Van Loveren Nature Reserve,Nature Reserve,232,Cape Winelands
Robben Island,World Heritage Site,2866,City of Cape Town
Eagle Rock Private Nature Reserve,Nature Reserve,147,Overberg
Doringkloof Nature Reserve,Nature Reserve,274,Garden Route
Solva Nature Reserve,Nature Reserve,584,Overberg
Kromrivierkloof Nature Reserve,Nature Reserve,3904,West Coast
Elandsberg Private Nature Reserve,Nature Reserve,4620,Cape Winelands
Hottentots-Holland Mountain Catchment Area,Mountain Catchment Area,24028,City of Cape Town
Triangle Nature Reserve,Nature Reserve,989,Garden Route
Kwessie Nature Reserve,Nature Reserve,426,Garden Route
